date,num_likes,num_retweets,tweet_source,tweets
2022-03-19 05:08:01+00:00,25091,1044,Sprout Social,"🇸🇪 @Ibra_Official x @JesseLingard 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#MUFC https://t.co/8Tb84eXbNt"
2022-03-19 02:24:00+00:00,3136,215,Twitter for Advertisers.,"📲 @D_DeGea has posted a impactful message to our fans following a challenging few days ✊

#MUFC"
2022-03-18 22:33:00+00:00,2387,136,Twitter for Advertisers.,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 Some of our young Reds will be representing England across youth levels during the upcoming international break... 

#MUFC | #YoungLions"
2022-03-18 21:18:49+00:00,2173,150,Twitter for Advertisers.,"Check out the best pictures from our #MUAcademy U23s' comfortable victory over Everton! 🖼

#MUFC | #PL2"
2022-03-18 20:58:49+00:00,5925,365,Twitter Web App,"A brilliant performance from our #MUAcademy U23s 💥

A brace from D'Mani Mellor and a great finish from Charlie Savage was the difference between the two sides ⚽️

#MUFC | #PL2 https://t.co/cSDAiCYzdk"
2022-03-18 19:50:51+00:00,3868,161,Twitter Web App,"Nothing to separate the two sides at the break #PL2 

#MUFC | #MUAcademy https://t.co/p6XqzvQZc9"
2022-03-18 18:30:54+00:00,2835,205,Twitter for iPhone,"Friday night football for our #MUAcademy U23s against Everton! ✨

Here’s how the Reds line up tonight ⬇️

#MUFC | #PL2 https://t.co/cGsS8GWuNl"
2022-03-18 18:06:00+00:00,1545,117,Twitter for Advertisers.,"🎥 Watch the final 𝗨𝗻𝗶𝘁𝗲𝗱 𝗗𝗮𝗶𝗹𝘆 episode of the week, featuring @DalotDiogo and more... 

#MUFC"
2022-03-18 16:50:00+00:00,2888,158,Twitter for Advertisers,"🌊 @AT13Oficial 🙋‍♂️

#MUFC"
2022-03-18 15:33:00+00:00,10993,473,Twitter Media Studio,"For the badge ✊🔴

🇵🇹 @DalotDiogo

#MUFC | #PhotoOfTheDay https://t.co/yWBBKEwNBG"
2022-03-18 14:00:00+00:00,15167,737,Twitter Web App,"The Festival of Colour has begun! 🔥

Can you guess which of our players is behind this #Holi colour explosion? 🌈

#MUFC https://t.co/ms0noxgspG"
2022-03-18 12:50:00+00:00,1777,99,Twitter for Advertisers.,"🎙 Jaap lifts the lid on his United exit in our latest #UTDPodcast...

#MUFC"
2022-03-18 10:33:00+00:00,2425,159,Twitter for Advertisers.,"On his birthday, @DalotDiogo reflects on what he feels is the most important year of his career so far 📈🔴

#MUFC"
2022-03-18 09:14:00+00:00,3929,318,Twitter Media Studio,"A rapid counterattack finished off by @Anto_V25 ⚡

#MUFC | #GoalOfTheDay https://t.co/XFp8clt0I1"
2022-03-18 05:57:00+00:00,6761,565,Twitter Ads,"☸ Wishing you a year full of light, laughter and the playful spirit of Holi! 🍃

#MUFC | #Holi https://t.co/6xLl0IIt3K"
2022-03-18 02:09:00+00:00,1434,82,Twitter for Advertisers.,"Don't miss part ✌️ of the 𝗨𝗧𝗗 𝗣𝗼𝗱𝗰𝗮𝘀𝘁 with Jaap Stam — available on our app now! 📲

🎙 @SamHomewood
🎙 @6HellsBells
🎙 @DavidMay04

#MUFC | #UTDPodcast"
2022-03-17 22:58:00+00:00,3302,181,Twitter for Advertisers.,"A well-deserved Portugal call-up for @DalotDiogo — the perfect early birthday present 🙌🇵🇹

#MUFC"
2022-03-17 21:34:00+00:00,4117,278,Twitter for Advertisers.,"A special goal from an incredible talent ✨

#MUFC | #StPatricksDay"
2022-03-17 20:16:00+00:00,2350,155,Twitter for Advertisers.,"👔 The #ThreeLions boss has discussed today's @England squad announcement... 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#MUFC"
2022-03-17 19:05:00+00:00,2538,170,Twitter for Advertisers.,"🇧🇷 @AT13Oficial and @Fred08Oficial feature in today's episode of 𝗨𝗻𝗶𝘁𝗲𝗱 𝗗𝗮𝗶𝗹𝘆 — head to our app now to watch 📲

#MUFC"
2022-03-17 18:00:00+00:00,2540,171,Twitter for Advertisers.,"🏟 #MUWomen's Old Trafford showpiece is just 🔟 days away!

Find out how we're counting down to the big occasion 👇

#MUFC | #ChangeTheGame"
2022-03-17 16:42:00+00:00,1242,97,Twitter for Advertisers.,"A number of our former Irish Reds have featured on the 𝑼𝑻𝑫 𝑷𝒐𝒅𝒄𝒂𝒔𝒕 — listen to some of the key moments 🎧👇

🎙️ @NormanWhiteside 

#MUFC | #StPatricksDay"
2022-03-17 15:44:16+00:00,4602,368,Twitter Web App,"Our Portuguese Reds 👏🇵🇹

#MUFC https://t.co/yaAe35ySSr https://t.co/PWPwURxXQY"
2022-03-17 15:33:00+00:00,11531,618,Twitter Media Studio,"𝗧𝗵𝗲 𝗕𝗲𝘀𝘁.

#MUFC | #PhotoOfTheDay https://t.co/7uoWRhx97s"
2022-03-17 14:06:24+00:00,3163,253,Twitter Web App,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 @LukeShaw23 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 @HarryMaguire93 

Congratulations, Reds! ✊🔴

#MUFC | #ThreeLions https://t.co/nTkt2tFU9U https://t.co/pFhbQOCqxa"
2022-03-17 12:04:00+00:00,2783,171,Twitter for Advertisers.,"Our former defender lifts the lid on his idol, Keano and what it was like to play under him in his 𝗨𝗧𝗗 𝗨𝗻𝘀𝗰𝗿𝗶𝗽𝘁𝗲𝗱 📖👇

#MUFC | #StPatricksDay"
2022-03-17 10:18:00+00:00,3029,220,Twitter Media Studio,"Sheasy climbed above the rest to nod home @WayneRooney's set-piece in 2️⃣0️⃣0️⃣5️⃣ 👏

#StPatricksDay 

#MUFC | #GoalOfTheDay https://t.co/cjEwusbTDh"
2022-03-17 06:32:02+00:00,8177,584,Sprout Social,"Wishing a great #StPatricksDay to all those celebrating ☘️

#MUFC https://t.co/8XAQXEffCl"
2022-03-17 03:17:00+00:00,2658,153,Twitter for Advertisers.,"🏴󠁧󠁢󠁳󠁣󠁴󠁿 @McTominay10 could feature in a fundraising friendly between Scotland and Poland next week.

#MUFC"
2022-03-16 22:12:01+00:00,29864,2360,Twitter for iPhone,💔 https://t.co/ze4ZHUvUeh
2022-03-16 19:54:00+00:00,2434,177,Twitter for Advertisers.,"▪️ #UCL reaction round-up
▪️ More on @AnthonyElanga's call-up
▪️ Our #PL fixture amendments 

#MUFC"
2022-03-16 18:12:35+00:00,19011,1137,Twitter for iPhone,❤️ https://t.co/YpWYVbR00G
2022-03-16 16:33:00+00:00,17098,1033,Twitter for Advertisers.,"Solidarity, Rapha ✊

#MUFC"
2022-03-16 15:09:00+00:00,3934,205,Twitter for Advertisers.,"Our former goalkeeper believes Tuesday night could have a galvanising effect on the Reds ✊

#MUFC"
2022-03-16 12:25:04+00:00,7825,384,Twitter for Advertisers.,"A first senior call-up for @AnthonyElanga 👏🇸🇪

#MUFC"
2022-03-16 09:50:20+00:00,3571,200,Twitter for Advertisers.,"Our focus must shift to the end-of-season run-in, says Ralf 💬

#MUFC | #PL"
2022-03-16 02:50:00+00:00,4864,295,Twitter for Advertisers.,"🗣 Our no.1 provides an honest assessment of Tuesday's game...

#MUFC | #UCL"
2022-03-15 23:22:37+00:00,2741,203,Twitter for Advertisers.,"Ralf Rangnick gave #MUTV his thoughts following tonight's game 💬

#MUFC | #UCL"
2022-03-15 21:54:11+00:00,17156,2368,Twitter for Advertisers.,"The Reds bow out of the #UCL

#MUFC"
2022-03-15 21:44:06+00:00,2198,158,Twitter Web App,"🔄 A final throw of the dice by Ralf Rangnick.

#MUFC | #UCL https://t.co/1TfOFreLZW"
2022-03-15 21:39:07+00:00,4978,242,Twitter for iPhone,"⏳ We’re into the final 🔟 minutes…

#MUFC | #UCL https://t.co/WiROEIg91B"
2022-03-15 21:35:13+00:00,1342,105,Twitter Web App,"🔄 Another change as @ECavaniOfficial takes the place of @Fred08Oficial.

#MUFC | #UCL https://t.co/rR0zejCkEU"
2022-03-15 21:30:37+00:00,1639,151,Twitter for iPhone,"Come on United — less than 2️⃣0️⃣ minutes to go! 😤🔴

#MUFC | #UCL https://t.co/iMp7qFaIcF https://t.co/wSEGuyw5Ho"
2022-03-15 21:28:16+00:00,1765,152,Twitter Web App,"🔄 Our interim boss freshens up his midfield as we continue to press for an equaliser.

#MUFC | #UCL https://t.co/fMtBcTPh3o"
2022-03-15 21:19:24+00:00,3291,250,Twitter for iPhone,"⏱ An hour has passed… 

We’re still searching for that leveller 🔎

#MUFC | #UCL https://t.co/EeAi05ga5l"
2022-03-15 21:04:31+00:00,1677,182,Twitter for Advertisers.,"We're all behind you, Reds — let's turn this around! ✊🔴

#MUFC | #UCL"
2022-03-15 21:00:32+00:00,6215,404,Twitter for iPhone,"Big second half needed 💪

#MUFC | #UCL https://t.co/G8k3DxptiZ"
2022-03-15 20:47:51+00:00,6646,523,Twitter for Advertisers.,"Behind at the break but we're not out of this one yet! 😤✊

#MUFC | #UCL"
2022-03-15 20:43:03+00:00,15459,902,Twitter Web App,"Goal. The visitors take the lead.

#MUFC | #UCL"
2022-03-15 20:37:20+00:00,3451,270,Twitter for iPhone,"📸 Action from an end-to-end opening period 💪

#MUFC | #UCL https://t.co/kCwv4oI8f2"
2022-03-15 20:29:45+00:00,4025,320,Twitter for iPhone,"🤏 This close to an opener…

Keep it up, Reds! 👏

#MUFC | #UCL https://t.co/CuICMqVxdo"
2022-03-15 20:25:52+00:00,2356,204,Twitter for iPhone,"An electric first 2️⃣0️⃣ at Old Trafford ⚡️

▪️ @AnthonyElanga was denied by Oblak early on
▪️ @D_DeGea did well to keep out de Paul's attempt

#MUFC | #UCL https://t.co/v0uC8oZrSI"
2022-03-15 20:09:41+00:00,6619,533,Twitter for iPhone,"🔴⚪️⚫️ 𝐔𝐍𝐈𝐓𝐄𝐃 🔴⚪️⚫️

#MUFC | #UCL https://t.co/H705ILzqvO"
2022-03-15 20:01:35+00:00,2561,389,Twitter for Advertisers.,"LET'S! GO! REDS! 🗣💯

#MUFC | #UCL"
2022-03-15 19:48:53+00:00,4863,428,Twitter for iPhone,"Getting ready for Atleti ⚽️✨

#MUFC | #UCL https://t.co/sNXg0VoOm9"
2022-03-15 19:36:58+00:00,3167,328,Twitter for Advertisers.,"📱 Time to apply the finishing touches to our #UCL prep! 💪

#MUFC"
2022-03-15 19:23:33+00:00,2902,244,Twitter for Advertisers.,"Taking a pre-game peek inside the dressing room 👀🔴

#MUFC | #UCL"
2022-03-15 19:12:23+00:00,6935,640,Twitter for iPhone,"🧠💯 Matchday mindset = 🔛

#MUFC | #UCL https://t.co/qG67VAfIZY"
2022-03-15 19:07:21+00:00,5821,471,Twitter for Advertisers.,"👋 Checking in for a big night in the #UCL

#MUFC"
2022-03-15 18:50:42+00:00,26698,4267,Twitter for Advertisers.,"🚨 LINE-UPS ARE IN! 🔥

#MUFC | #UCL"
2022-03-15 18:49:00+00:00,11007,656,Twitter for Advertisers.,"🔴 You'll be needing that shirt, @Cristiano... 

#MUFC | #UCL"
2022-03-15 18:36:11+00:00,1744,160,Twitter for Advertisers.,"🇿🇦 @QuintonFortune's score prediction is in! But what's yours? 🤔

Head to our app now for more #UCL build-up 📲

#MUFC"
2022-03-15 18:24:00+00:00,6083,490,Twitter for iPhone,"A couple of Reds legends have entered the building! 👋🏟

#MUFC | #UCL https://t.co/8xFy010Faw"
2022-03-15 18:00:45+00:00,1435,101,Twitter for iPhone,🔜 https://t.co/fXd55PbyGl
2022-03-15 17:58:12+00:00,3183,202,Twitter for Advertisers,"Excitement levels = building 📈🤩

#MUFC | #UCL"
2022-03-15 17:32:00+00:00,5401,503,Twitter for Advertisers.,"✨ 𝑻𝒉𝒆 𝑻𝒉𝒆𝒂𝒕𝒓𝒆 𝒐𝒇 𝑫𝒓𝒆𝒂𝒎𝒔 ✨

Ready for a night under the lights in the #UCL 

#MUFC"
2022-03-15 16:56:00+00:00,2928,221,Twitter for Advertisers.,"🌪️ 𝑩𝒆𝒏𝒅 𝒊𝒕 𝒍𝒊𝒌𝒆 𝑩𝒆𝒄𝒌𝒉𝒂𝒎 🌪️

These strikes against Spanish sides in the #UCL are top class 🔝👏

#MUFC"
2022-03-15 16:29:00+00:00,5138,496,Twitter Web App,"Old Trafford — let's do this! 🔊❤️

😘 @Cristiano 

#MUFC | #UCL https://t.co/pcNWvq5B3Y https://t.co/fU7wHJ1wgy"
2022-03-15 16:02:00+00:00,2553,189,Twitter for Advertisers.,"🗓 There are several changes to our #PL schedule in April and into May... 

#MUFC"
2022-03-15 15:41:00+00:00,2017,128,Twitter for Advertisers.,"Our U23s scored 🖐 last time out against Derby — tonight, they travel to face Leeds in #PL2! 🚌

Good luck, Reds! ✊🔴

#MUFC | #MUAcademy"
2022-03-15 15:06:00+00:00,1874,133,Twitter for Advertisers.,"🎥 Get the lowdown with @DalotDiogo, plus hear from Ralf Rangnick, @RaphaelVarane and more in today's #UCL edition of 𝐔𝐧𝐢𝐭𝐞𝐝 𝐃𝐚𝐢𝐥𝐲... ⬇️

#MUFC"
2022-03-15 14:22:00+00:00,6715,519,Twitter Media Studio,"✨ @AnthonyElanga was on target in the first-leg tie! 🎯

#MUFC | #UCL https://t.co/pUOHB7MFYo"
2022-03-15 13:27:00+00:00,2112,166,Twitter for Advertisers.,"💬 Ralf talks all things atmosphere, Atletico Madrid and the #UCL knockouts — catch up with everything our interim boss has to say 📰👇

#MUFC"
2022-03-15 12:58:00+00:00,5509,411,Twitter for Advertisers.,"The #UCL stage is set for @Cristiano 🏟️✨

#MUFC | @RaphaelVarane"
2022-03-15 12:06:02+00:00,19615,1370,Sprout Social,"Waiting for #UCL kick-off like... ⏳

#MUFC | #PhotoOfTheDay https://t.co/ce4cb2YksA"
2022-03-15 11:58:43+00:00,31,0,Twitter for iPhone,@Lodwick96268904 🙌
2022-03-15 11:58:25+00:00,120,0,Twitter for iPhone,@horcruxedsoul Matchday ready ✔️
